"State","State Abbreviation","State FIPS Code","Actor","Type","First_Date_Effect","Last_Date_Effect","date_diff","gap_flag"
"Alabama","AL","01","G","H",2020-04-03,2020-07-07,NA,0
"Alaska","AK","02","C","H",2020-03-23,2020-04-03,7,1
"Alaska","AK","02","L","H",2020-04-10,2020-06-30,NA,1
"Arizona","AZ","04","G","H",2020-03-24,2020-07-22,1,0
"Arizona","AZ","04","G","H",2020-07-23,2020-10-31,NA,0
"California","CA","06","G","H",2020-03-16,2020-05-31,-55,0
"California","CA","06","C","H",2020-04-06,2020-09-01,-1,0
"California","CA","06","L","H",2020-08-31,2021-01-31,NA,0
"Colorado","CO","08","G","H",2020-03-20,2020-04-30,0,1
"Colorado","CO","08","G","H",2020-04-30,2020-06-13,130,1
"Colorado","CO","08","G","H",2020-10-21,2021-01-31,NA,1
"Connecticut","CT","09","C","H",2020-03-16,2020-09-13,101,1
"Connecticut","CT","09","G","H",2020-12-23,2021-06-30,NA,1
"Delaware","DE","10","C","H",2020-03-17,2020-09-11,-171,0
"Delaware","DE","10","G","H",2020-03-24,2020-06-30,NA,0
"District of Columbia","DC","11","C","C",2020-03-15,2020-05-31,-75,0
"District of Columbia","DC","11","L","H",2020-03-17,2022-04-01,NA,0
"Florida","FL","12","C",NA,2020-03-24,2020-07-01,-90,0
"Florida","FL","12","G","H",2020-04-02,2020-09-30,NA,0
"Georgia","GA","13","C","C",2020-03-14,2020-05-20,NA,0
"Hawaii","HI","15","C","C",2020-03-16,2020-05-29,-42,0
"Hawaii","HI","15","G","H",2020-04-17,2021-08-06,NA,0
"Idaho","ID","16","C","C",2020-03-16,2020-04-30,NA,0
"Illinois","IL","17","G","H",2020-03-21,2021-10-03,NA,0
"Indiana","IN","18","G","H",2020-03-19,2020-08-14,NA,0
"Iowa","IA","19",NA,"C",2020-03-19,2020-05-27,NA,0
"Kansas","KS","20","C","C",2020-03-16,NA,NA,1
"Kansas","KS","20","G","H",2020-03-17,2020-05-31,80,1
"Kansas","KS","20","G","H",2020-08-19,2021-01-26,NA,1
"Kentucky","KY","21","C","H",2020-03-16,2020-07-30,-127,0
